market,korean_name,english_name
KRW-BTC,비트코인,Bitcoin
KRW-ETH,이더리움,Ethereum
KRW-NEO,네오,NEO
KRW-MTL,메탈,Metal
KRW-XRP,리플,Ripple
KRW-ETC,이더리움클래식,Ethereum Classic
KRW-SNT,스테이터스네트워크토큰,Status Network Token
KRW-WAVES,웨이브,Waves
KRW-XEM,넴,NEM
KRW-QTUM,퀀텀,Qtum
KRW-LSK,리스크,Lisk
KRW-STEEM,스팀,Steem
KRW-XLM,스텔라루멘,Lumen
KRW-ARDR,아더,Ardor
KRW-ARK,아크,Ark
KRW-STORJ,스토리지,Storj
KRW-GRS,그로스톨코인,Groestlcoin
KRW-ADA,에이다,Ada
KRW-SBD,스팀달러,SteemDollars
KRW-POWR,파워렛저,Power ledger
KRW-BTG,비트코인골드,Bitcoin Gold
KRW-ICX,아이콘,Icon
KRW-EOS,이오스,EOS
KRW-TRX,트론,TRON
KRW-SC,시아코인,Siacoin
KRW-ONT,온톨로지,Ontology
KRW-ZIL,질리카,Zilliqa
KRW-POLYX,폴리매쉬,Polymesh
KRW-ZRX,제로엑스,0x Protocol
KRW-LOOM,룸네트워크,Loom Network
KRW-BCH,비트코인캐시,Bitcoin Cash
KRW-BAT,베이직어텐션토큰,Basic Attention Token
KRW-IOST,아이오에스티,IOST
KRW-CVC,시빅,Civic
KRW-IQ,아이큐,IQ.wiki
KRW-IOTA,아이오타,IOTA
KRW-HIFI,하이파이,Hifi Finance
KRW-ONG,온톨로지가스,ONG
KRW-GAS,가스,GAS
KRW-UPP,센티넬프로토콜,Sentinel Protocol
KRW-ELF,엘프,aelf
KRW-KNC,카이버네트워크,Kyber Network
KRW-BSV,비트코인에스브이,Bitcoin SV
KRW-THETA,쎄타토큰,Theta Token
KRW-QKC,쿼크체인,QuarkChain
KRW-BTT,비트토렌트,BitTorrent
KRW-MOC,모스코인,Moss Coin
KRW-TFUEL,쎄타퓨엘,Theta Fuel
KRW-MANA,디센트럴랜드,Decentraland
KRW-ANKR,앵커,Ankr
KRW-AERGO,아르고,Aergo
KRW-ATOM,코스모스,Cosmos
KRW-TT,썬더코어,ThunderCore
KRW-GAME2,게임빌드,GameBuild
KRW-MBL,무비블록,MovieBloc
KRW-WAXP,왁스,WAX
KRW-HBAR,헤데라,Hedera
KRW-MED,메디블록,MediBloc
KRW-MLK,밀크,MiL.k
KRW-STPT,에스티피,Standard Tokenization Protocol
KRW-ORBS,오브스,Orbs
KRW-VET,비체인,VeChain
KRW-CHZ,칠리즈,Chiliz
KRW-STMX,스톰엑스,StormX
KRW-DKA,디카르고,dKargo
KRW-HIVE,하이브,Hive
KRW-KAVA,카바,Kava
KRW-AHT,아하토큰,AhaToken
KRW-LINK,체인링크,Chainlink
KRW-XTZ,테조스,Tezos
KRW-BORA,보라,BORA
KRW-JST,저스트,JUST
KRW-CRO,크로노스,Cronos
KRW-TON,토카막네트워크,Tokamak Network
KRW-SXP,솔라,SXP
KRW-HUNT,헌트,HUNT
KRW-DOT,폴카닷,Polkadot
KRW-MVL,엠블,MVL
KRW-STRAX,스트라티스,Stratis
KRW-AQT,알파쿼크,Alpha Quark Token
KRW-GLM,골렘,Golem
KRW-META,메타디움,Metadium
KRW-FCT2,피르마체인,FirmaChain
KRW-CBK,코박토큰,Cobak Token
KRW-SAND,샌드박스,The Sandbox
KRW-HPO,히포크랏,Hippocrat
KRW-DOGE,도지코인,Dogecoin
KRW-STRIKE,스트라이크,Strike
KRW-PUNDIX,펀디엑스,Pundi X
KRW-FLOW,플로우,Flow
KRW-AXS,엑시인피니티,Axie Infinity
KRW-STX,스택스,Stacks
KRW-XEC,이캐시,eCash
KRW-SOL,솔라나,Solana
KRW-MATIC,폴리곤,Polygon
KRW-AAVE,에이브,Aave
KRW-1INCH,1인치네트워크,1inch Network
KRW-ALGO,알고랜드,Algorand
KRW-NEAR,니어프로토콜,NEAR Protocol
KRW-AVAX,아발란체,Avalanche
KRW-T,쓰레스홀드,Threshold
KRW-CELO,셀로,Celo
KRW-GMT,스테픈,Stepn
KRW-APT,앱토스,Aptos
KRW-SHIB,시바이누,Shiba Inu
KRW-MASK,마스크네트워크,Mask Network
KRW-ARB,아비트럼,Arbitrum
KRW-EGLD,멀티버스엑스,MultiversX
KRW-SUI,수이,Sui
KRW-GRT,더그래프,The Graph
KRW-BLUR,블러,Blur
KRW-IMX,이뮤터블엑스,Immutable X
KRW-SEI,세이,Sei
KRW-MINA,미나,Mina
KRW-CTC,크레딧코인,Creditcoin
KRW-ASTR,아스타,Astar
KRW-ID,스페이스아이디,SPACE ID
KRW-PYTH,피스네트워크,Pyth Network
KRW-MNT,맨틀,Mantle
KRW-AKT,아카시네트워크,Akash Network
KRW-ZETA,제타체인,ZetaChain
KRW-AUCTION,바운스토큰,Bounce
KRW-STG,스타게이트파이낸스,Stargate Finance
KRW-BEAM,빔,Beam
KRW-TAIKO,타이코,Taiko
KRW-USDT,테더,Tether
KRW-ONDO,온도파이낸스,Ondo Finance
KRW-ZRO,레이어제로,LayerZero
